"naics_code","naics_title","total_employees","ICT_employees","ICT_employees_pct_share"
"511","Publishing Industries (except Internet)",2910,60,NA
"5111","Newspaper, Periodical, Book, and Directory Publishers",2680,30,NA
"517","Telecommunications",9960,550,NA
"518","Data Processing, Hosting, and Related Services",2110,440,NA
"5191","Other Information Services",150,0,NA
"5413","Architectural, Engineering, and Related Services",5170,0,NA
"5414","Specialized Design Services",210,0,NA
"5415","Computer Systems Design and Related Services",3170,1040,NA
"5416","Management, Scientific, and Technical Consulting Services",5940,260,NA
"54171","Research and Development in the Physical, Engineering, and Life Sciences",570,0,NA
"6114","Business Schools and Computer and Management Training",NA,NA,NA
"6215","Medical and Diagnostic Laboratories",5710,0,NA
"6221","General Medical and Surgical Hospitals",30910,190,NA
