"naics_code","naics_title","ICT_employees","ICT_employees_pct_share"
"511","Publishing Industries (except Internet)",60,0.0215827338129496
"5111","Newspaper, Periodical, Book, and Directory Publishers",0,0
"517","Telecommunications",570,0.205035971223022
"518","Data Processing, Hosting, and Related Services",420,0.151079136690647
"5191","Other Information Services",0,0
"5413","Architectural, Engineering, and Related Services",0,0
"5414","Specialized Design Services",0,0
"5415","Computer Systems Design and Related Services",1090,0.392086330935252
"5416","Management, Scientific, and Technical Consulting Services",420,0.151079136690647
"54171","Research and Development in the Physical, Engineering, and Life Sciences",0,0
"6114","Business Schools and Computer and Management Training",0,0
"6215","Medical and Diagnostic Laboratories",0,0
"6221","General Medical and Surgical Hospitals",220,0.079136690647482
"","Total",2780,1
