"Cohort","Concept","Percentage of Respective Population"
"Educational Attainment -- 18 to 24 years old","Less than high school graduate","16.2%"
"Educational Attainment -- 18 to 24 years old","High school graduate (includes equivalency)","27.8%"
"Educational Attainment -- 18 to 24 years old","Some college or associate's degree","49.9%"
"Educational Attainment -- 18 to 24 years old","Bachelor's degree or higher","6.2%"
"Educational Attainment -- 25 years old or more","Less than 9th grade","20.1%"
"Educational Attainment -- 25 years old or more","9th to 12th grade, no diploma","10.2%"
"Educational Attainment -- 25 years old or more","High school graduate (includes equivalency)","25.7%"
"Educational Attainment -- 25 years old or more","Some college, no degree","12.8%"
"Educational Attainment -- 25 years old or more","Associate's degree","8.7%"
"Educational Attainment -- 25 years old or more","Bachelor's degree","16.4%"
"Educational Attainment -- 25 years old or more","Graduate or professional degree","6.1%"
"Educational Attainment -- 25 to 34 years old","High school graduate or higher","83.9%"
"Educational Attainment -- 25 to 34 years old","Bachelor's degree or higher","27.4%"
"Educational Attainment -- 35 to 44 years old","High school graduate or higher","82.2%"
"Educational Attainment -- 35 to 44 years old","Bachelor's degree or higher","28.9%"
"Educational Attainment -- 45 to 64 years old","High school graduate or higher","71.4%"
"Educational Attainment -- 45 to 64 years old","Bachelor's degree or higher","22.8%"
"Educational Attainment -- 65 years old or more","High school graduate or higher","43.2%"
"Educational Attainment -- 65 years old or more","Bachelor's degree or higher","11.9%"
"Poverty Rate for the Population 25 and over","    Less than high school graduate","61.3%"
"Poverty Rate for the Population 25 and over","    High school graduate (includes equivalency)","44.8%"
"Poverty Rate for the Population 25 and over","    Some college or associate's degree","32.2%"
"Poverty Rate for the Population 25 and over","    Bachelor's degree or higher","12.6%"
"Median Earnings","  Less than high school graduate","10,767"
"Median Earnings","  High school graduate (includes equivalency)","14,419"
"Median Earnings","  Some college or associate's degree","17,268"
"Median Earnings","  Bachelor's degree","26,085"
"Median Earnings","  Graduate or professional degree","36,836"
