"Cohort","Percentage of Respective Population"
"Educational Attainment -- 18 to 24 years old",""
"Less than high school graduate","15.2%"
"High school graduate (includes equivalency)","28.8%"
"Some college or associate's degree","49.9%"
"Bachelor's degree or higher","6.2%"
"Educational Attainment -- 25 years old or more",""
"  Less than 9th grade","19.1%"
"  9th to 12th grade, no diploma","10.0%"
"  High school graduate (includes equivalency)","26.3%"
"  Some college, no degree","12.6%"
"  Associate's degree","8.9%"
"  Bachelor's degree","16.8%"
"  Graduate or professional degree","6.3%"
"Educational Attainment -- 25 to 34 years old",""
"  High school graduate or higher","84.9%"
"  Bachelor's degree or higher","27.9%"
"Educational Attainment -- 35 to 44 years old",""
"  High school graduate or higher","83.0%"
"  Bachelor's degree or higher","29.7%"
"Educational Attainment -- 45 to 64 years old",""
"  High school graduate or higher","73.3%"
"  Bachelor's degree or higher","23.7%"
"Educational Attainment -- 65 years old or more",""
"  High school graduate or higher","45.1%"
"  Bachelor's degree or higher","12.4%"
"Poverty Rate for the Population 25 and over",""
"  Less than high school graduate","61.3%"
"  High school graduate (includes equivalency)","45.3%"
"  Some college or associate's degree","32.9%"
"  Bachelor's degree or higher","13.2%"
"Median Earnings",""
"    Less than high school graduate","10,807"
"    High school graduate (includes equivalency)","14,588"
"    Some college or associate's degree","17,321"
"    Bachelor's degree","26,025"
"    Graduate or professional degree","37,218"
