"naics_code","naics_desc","gross_prod_nominal","gross_prod_share"
"5111"," ""Newspaper, Periodical, Book, and Directory Publi",174755.957329608,0.0346168492974473
"5112"," Software Publishers",12476.9921195509,0.00247152750892088
"517"," Telecommunications",1923548.14467861,0.381029506851852
"518"," ""Internet Service Providers, Web Search Portals,",195435.754638659,0.0387132442809897
"5191"," Other Information Services",6772.41832270307,0.00134152670981113
"5413"," ""Architectural, Engineering, and Related Services",281958.445504879,0.0558522477020656
"5414"," Specialized Design Services",11558.2723991313,0.00228954125452169
"5415"," Computer Systems Design and Related Services",171089.518888991,0.0338905762198558
"5416"," ""Management, Scientific, and Technical Consulting",348977.236640054,0.0691277859342056
"5417"," Scientific Research and Development Services",29631.5200819798,0.00586961314971084
"6114"," Business Schools and Computer and Management Trai",35391.5488048757,0.00701059883796054
"6215"," Medical and Diagnostic Laboratories",252108.427762751,0.0499393530488869
"6221"," General Medical and Surgical Hospitals",1604587.58823403,0.317847629203772
