"naics_code","naics_title","ICT_share"
"511","Publishing Industries (except Internet)","4.3%"
"5111","Newspaper, Periodical, Book, and Directory Publishers","0.0%"
"517","Telecommunications","6.2%"
"518","Data Processing, Hosting, and Related Services","9.3%"
"5191","Other Information Services","0.0%"
"5413","Architectural, Engineering, and Related Services","0.0%"
"5414","Specialized Design Services","0.0%"
"5415","Computer Systems Design and Related Services","27.8%"
"5416","Management, Scientific, and Technical Consulting Services","4.6%"
"54171","Research and Development in the Physical, Engineering, and Life Sciences","0.0%"
"6114","Business Schools and Computer and Management Training","0.0%"
"6215","Medical and Diagnostic Laboratories","0.0%"
"6221","General Medical and Surgical Hospitals","0.5%"
