"year","concept","variable","value"
"2013","Total Households","value",1253690
"2013","Households with an Internet Subscription","value",585087
"2013","% with High-Speed Internet","value",96.7835552661399
"2013","% with Low-Speed Internet","value",3.21644473386009
"2013","Households with Internet Access, but No Subscription","value",46505
"2013","Households without an Internet Connection","value",622098
"2014","Total Households","value",1233490
"2014","Households with an Internet Subscription","value",604929
"2014","% with High-Speed Internet","value",98.0396046478182
"2014","% with Low-Speed Internet","value",1.96039535218183
"2014","Households with Internet Access, but No Subscription","value",43770
"2014","Households without an Internet Connection","value",584791
