"level","first_second_major","cip_description","year","sum"
"Bachelor","First major","Communications Technology/Technician","2011",34
"Bachelor","First major","Communications Technologies/Technicians and Support Services, Other","2011",NA
"Bachelor","First major","Computer and Information Sciences and Support Services","2011",490
"Bachelor","First major","Engineering","2011",1014
"Bachelor","First major","Engineering Technologies and Engineering-related Fields","2011",188
"Bachelor","First major","Biological and Biomedical Sciences","2011",1116
"Bachelor","First major","Mathematics and Statistics","2011",36
"Bachelor","First major","Biological and Physical Sciences","2011",NA
"Bachelor","First major","Mathematics and Computer Science","2011",NA
"Bachelor","First major","Science, Technology and Society","2011",NA
"Bachelor","First major","Natural Sciences","2011",171
"Bachelor","First major","Computational Science","2011",NA
"Bachelor","First major","Human Computer Interaction","2011",NA
"Bachelor","First major","Electrical/Electronics Maintenance and Repair Technology","2011",0
"Bachelor","First major","Precision Systems Maintenance and Repair Technologies","2011",NA
"Bachelor","First major","Medical Illustration and Informatics","2011",NA
"Bachelor","First major","Physical Sciences","2011",235
"Bachelor","First major","Science Technologies/Technicians","2011",6
"Doctor","First major","Biological and Biomedical Sciences","2011",24
"Doctor","First major","Biological and Physical Sciences","2011",0
"Doctor","First major","Communications Technologies/Technicians and Support Services, Other","2011",0
"Doctor","First major","Communications Technology/Technician","2011",0
"Doctor","First major","Computational Science","2011",0
"Doctor","First major","Computer and Information Sciences and Support Services","2011",0
"Doctor","First major","Electrical/Electronics Maintenance and Repair Technology","2011",0
"Doctor","First major","Engineering","2011",3
"Doctor","First major","Engineering Technologies and Engineering-related Fields","2011",0
"Doctor","First major","Human Computer Interaction","2011",0
"Doctor","First major","Mathematics and Computer Science","2011",0
"Doctor","First major","Mathematics and Statistics","2011",2
"Doctor","First major","Medical Illustration and Informatics","2011",0
"Doctor","First major","Natural Sciences","2011",0
"Doctor","First major","Physical Sciences","2011",18
"Doctor","First major","Precision Systems Maintenance and Repair Technologies","2011",0
"Doctor","First major","Science Technologies/Technicians","2011",0
"Doctor","First major","Science, Technology and Society","2011",0
"Master","First major","Computer and Information Sciences and Support Services","2011",73
"Master","First major","Engineering","2011",110
"Master","First major","Engineering Technologies and Engineering-related Fields","2011",135
"Master","First major","Biological and Biomedical Sciences","2011",60
"Master","First major","Mathematics and Statistics","2011",28
"Master","First major","Biological and Physical Sciences","2011",NA
"Master","First major","Mathematics and Computer Science","2011",NA
"Master","First major","Science, Technology and Society","2011",NA
"Master","First major","Natural Sciences","2011",NA
"Master","First major","Computational Science","2011",NA
"Master","First major","Human Computer Interaction","2011",NA
"Master","First major","Physical Sciences","2011",11
"Master","First major","Science Technologies/Technicians","2011",NA
"Master","First major","Electrical/Electronics Maintenance and Repair Technology","2011",NA
"Master","First major","Precision Systems Maintenance and Repair Technologies","2011",NA
"Master","First major","Medical Illustration and Informatics","2011",NA
