"cip_code","cip_description","level","year","sum"
"10.01","Communications Technology/Technician","Bachelor","2011",34
"10.99","Communications Technologies/Technicians and Support Services, Other","Bachelor","2011",0
"11","Computer and information sciences and support services","Bachelor","2011",490
"14","Engineering","Bachelor","2011",1014
"15","Engineering technologies and engineering-related fields","Bachelor","2011",188
"26","Biological and biomedical sciences","Bachelor","2011",1116
"27","Mathematics and statistics","Bachelor","2011",36
"30.01","Biological and Physical Sciences","Bachelor","2011",0
"30.08","Mathematics and Computer Science","Bachelor","2011",0
"30.15","Science, Technology and Society","Bachelor","2011",0
"30.18","Natural Sciences","Bachelor","2011",171
"30.30","Computational Science","Bachelor","2011",0
"30.31","Human Computer Interaction","Bachelor","2011",0
"47.01","Electrical/Electronics Maintenance and Repair Technology","Bachelor","2011",0
"47.04","Precision Systems Maintenance and Repair Technologies","Bachelor","2011",0
"51.27","Medical Illustration and Informatics","Bachelor","2011",0
"40","Physical sciences","Bachelor","2011",235
"41","Science technologies/technicians","Bachelor","2011",6
"26","Biological and biomedical sciences","Doctor","2011",24
"30.01","Biological and Physical Sciences","Doctor","2011",0
"10.99","Communications Technologies/Technicians and Support Services, Other","Doctor","2011",0
"10.01","Communications Technology/Technician","Doctor","2011",0
"30.30","Computational Science","Doctor","2011",0
"11","Computer and information sciences and support services","Doctor","2011",0
"47.01","Electrical/Electronics Maintenance and Repair Technology","Doctor","2011",0
"14","Engineering","Doctor","2011",3
"15","Engineering technologies and engineering-related fields","Doctor","2011",0
"30.31","Human Computer Interaction","Doctor","2011",0
"30.08","Mathematics and Computer Science","Doctor","2011",0
"27","Mathematics and statistics","Doctor","2011",2
"51.27","Medical Illustration and Informatics","Doctor","2011",0
"30.18","Natural Sciences","Doctor","2011",0
"40","Physical sciences","Doctor","2011",18
"47.04","Precision Systems Maintenance and Repair Technologies","Doctor","2011",0
"41","Science technologies/technicians","Doctor","2011",0
"30.15","Science, Technology and Society","Doctor","2011",0
"11","Computer and information sciences and support services","Master","2011",73
"14","Engineering","Master","2011",110
"15","Engineering technologies and engineering-related fields","Master","2011",135
"26","Biological and biomedical sciences","Master","2011",60
"27","Mathematics and statistics","Master","2011",28
"30.01","Biological and Physical Sciences","Master","2011",0
"30.08","Mathematics and Computer Science","Master","2011",0
"30.15","Science, Technology and Society","Master","2011",0
"30.18","Natural Sciences","Master","2011",0
"30.30","Computational Science","Master","2011",0
"30.31","Human Computer Interaction","Master","2011",0
"40","Physical sciences","Master","2011",11
"41","Science technologies/technicians","Master","2011",0
"47.01","Electrical/Electronics Maintenance and Repair Technology","Master","2011",0
"47.04","Precision Systems Maintenance and Repair Technologies","Master","2011",0
"51.27","Medical Illustration and Informatics","Master","2011",0
