"level","first_second_major","cip_description","year","number"
"Bachelor","First major","Communications Technology/Technician","2010",1
"Bachelor","First major","Communications Technologies/Technicians and Support Services, Other","2010",0
"Bachelor","First major","Computer and Information Sciences and Support Services","2010",31
"Bachelor","First major","Engineering","2010",8
"Bachelor","First major","Engineering Technologies and Engineering-related Fields","2010",11
"Bachelor","First major","Biological and Biomedical Sciences","2010",26
"Bachelor","First major","Mathematics and Statistics","2010",10
"Bachelor","First major","Biological and Physical Sciences","2010",0
"Bachelor","First major","Mathematics and Computer Science","2010",0
"Bachelor","First major","Science, Technology and Society","2010",0
"Bachelor","First major","Natural Sciences","2010",5
"Bachelor","First major","Computational Science","2010",0
"Bachelor","First major","Human Computer Interaction","2010",0
"Bachelor","First major","Electrical/Electronics Maintenance and Repair Technology","2010",4
"Bachelor","First major","Precision Systems Maintenance and Repair Technologies","2010",0
"Bachelor","First major","Medical Illustration and Informatics","2010",0
"Bachelor","First major","Physical Sciences","2010",13
"Bachelor","First major","Science Technologies/Technicians","2010",3
"Doctor","First major","Biological and Biomedical Sciences","2010",4
"Doctor","First major","Biological and Physical Sciences","2010",0
"Doctor","First major","Communications Technologies/Technicians and Support Services, Other","2010",0
"Doctor","First major","Communications Technology/Technician","2010",0
"Doctor","First major","Computational Science","2010",0
"Doctor","First major","Computer and Information Sciences and Support Services","2010",1
"Doctor","First major","Electrical/Electronics Maintenance and Repair Technology","2010",0
"Doctor","First major","Engineering","2010",1
"Doctor","First major","Engineering Technologies and Engineering-related Fields","2010",0
"Doctor","First major","Human Computer Interaction","2010",0
"Doctor","First major","Mathematics and Computer Science","2010",0
"Doctor","First major","Mathematics and Statistics","2010",1
"Doctor","First major","Medical Illustration and Informatics","2010",0
"Doctor","First major","Natural Sciences","2010",0
"Doctor","First major","Physical Sciences","2010",2
"Doctor","First major","Precision Systems Maintenance and Repair Technologies","2010",0
"Doctor","First major","Science Technologies/Technicians","2010",0
"Doctor","First major","Science, Technology and Society","2010",0
"Master","First major","Computer and Information Sciences and Support Services","2010",7
"Master","First major","Engineering","2010",2
"Master","First major","Engineering Technologies and Engineering-related Fields","2010",3
"Master","First major","Biological and Biomedical Sciences","2010",4
"Master","First major","Mathematics and Statistics","2010",3
"Master","First major","Biological and Physical Sciences","2010",0
"Master","First major","Mathematics and Computer Science","2010",0
"Master","First major","Science, Technology and Society","2010",0
"Master","First major","Natural Sciences","2010",0
"Master","First major","Computational Science","2010",0
"Master","First major","Human Computer Interaction","2010",0
"Master","First major","Physical Sciences","2010",3
"Master","First major","Science Technologies/Technicians","2010",0
"Master","First major","Electrical/Electronics Maintenance and Repair Technology","2010",0
"Master","First major","Precision Systems Maintenance and Repair Technologies","2010",0
"Master","First major","Medical Illustration and Informatics","2010",0
