"cip_code","cip_description","year","N"
"26","Biological and biomedical sciences","2012",37
"30.01","Biological and Physical Sciences","2012",0
"10.99","Communications Technologies/Technicians and Support Services, Other","2012",0
"10.01","Communications Technology/Technician","2012",1
"30.30","Computational Science","2012",0
"11","Computer and information sciences and support services","2012",43
"47.01","Electrical/Electronics Maintenance and Repair Technology","2012",1
"14","Engineering","2012",9
"15","Engineering technologies and engineering-related fields","2012",13
"30.31","Human Computer Interaction","2012",0
"30.08","Mathematics and Computer Science","2012",0
"27","Mathematics and statistics","2012",14
"51.27","Medical Illustration and Informatics","2012",0
"30.18","Natural Sciences","2012",5
"40","Physical sciences","2012",18
"47.04","Precision Systems Maintenance and Repair Technologies","2012",0
"41","Science technologies/technicians","2012",2
"30.15","Science, Technology and Society","2012",0
