"cip_code","cip_description","year","N"
"26","Biological and biomedical sciences","2010",34
"30.01","Biological and Physical Sciences","2010",0
"10.99","Communications Technologies/Technicians and Support Services, Other","2010",0
"10.01","Communications Technology/Technician","2010",1
"30.30","Computational Science","2010",0
"11","Computer and information sciences and support services","2010",39
"47.01","Electrical/Electronics Maintenance and Repair Technology","2010",4
"14","Engineering","2010",11
"15","Engineering technologies and engineering-related fields","2010",14
"30.31","Human Computer Interaction","2010",0
"30.08","Mathematics and Computer Science","2010",0
"27","Mathematics and statistics","2010",14
"51.27","Medical Illustration and Informatics","2010",0
"30.18","Natural Sciences","2010",5
"40","Physical sciences","2010",18
"47.04","Precision Systems Maintenance and Repair Technologies","2010",0
"41","Science technologies/technicians","2010",3
"30.15","Science, Technology and Society","2010",0
